ts,segment,multiplier
2025-09-13 01:44:00,1X,7X
2025-09-13 01:43:00,2X,2X
2025-09-13 01:42:00,1X,1X
2025-09-13 01:41:00,25X,9X
2025-09-13 01:40:00,1X,1X
2025-09-13 01:39:00,1X,1X
2025-09-13 01:38:00,25X,8X
2025-09-13 01:37:00,1X,1X
2025-09-13 01:36:00,1X,1X
2025-09-13 01:35:00,25X,7X
2025-09-13 01:34:00,10X,4X
2025-09-13 01:32:00,30X,27X
2025-09-13 01:31:00,25X,10X
2025-09-13 01:29:00,25X,7X
2025-09-13 01:28:00,31X,13X
2025-09-13 01:26:00,1X,1X
2025-09-13 01:25:00,1X,1X
2025-09-13 01:24:00,25X,7X
2025-09-13 01:23:00,12X,2X
2025-09-13 00:58:00,4X,1X
2025-09-13 00:56:00,25X,11X
2025-09-13 00:55:00,15X,3X
2025-09-13 00:54:00,1X,1X
2025-09-13 00:53:00,25X,7X
2025-09-13 00:52:00,10X,2X
2025-09-13 00:50:00,25X,7X
2025-09-13 00:49:00,25X,7X
2025-09-13 00:48:00,7X,3X
2025-09-13 00:47:00,50X,12X
2025-09-13 00:46:00,2X,1X
2025-09-13 00:45:00,25X,6X
2025-09-13 00:44:00,6X,2X
2025-09-13 00:42:00,25X,6X
2025-09-13 00:41:00,12X,5X
2025-09-13 00:38:00,25X,6X
2025-09-13 00:38:00,1X,803X
2025-09-13 00:37:00,25X,6X
2025-09-13 00:36:00,16X,1X
2025-09-13 01:21:00,1X,1X
2025-09-13 01:20:00,15X,3X
2025-09-13 01:18:00,25X,9X
2025-09-13 01:17:00,1X,2X
2025-09-13 01:16:00,25X,9X
2025-09-13 01:15:00,25X,8X
2025-09-13 01:14:00,25X,8X
2025-09-13 01:13:00,25X,7X
2025-09-13 01:12:00,25X,7X
2025-09-13 01:11:00,25X,7X
2025-09-13 01:10:00,1X,3X
2025-09-13 01:09:00,1X,2X
2025-09-13 01:08:00,1X,3X
2025-09-13 01:06:00,25X,8X
2025-09-13 01:05:00,25X,9X
2025-09-13 01:04:00,1X,2X
2025-09-13 01:03:00,25X,7X
2025-09-13 01:02:00,1X,3X
2025-09-13 01:01:00,25X,9X
2025-09-13 02:10:00,1X,1X
2025-09-13 02:09:00,1X,1X
2025-09-13 02:08:00,15X,1X
2025-09-13 02:06:00,25X,6X
2025-09-13 02:05:00,25X,5X
2025-09-13 02:04:00,75X,16X
2025-09-13 02:03:00,25X,6X
2025-09-13 02:02:00,4X,1X
2025-09-13 02:00:00,1X,1X
2025-09-13 01:59:00,25X,7X
2025-09-13 01:57:00,1X,5X
2025-09-13 01:56:00,1X,1X
2025-09-13 01:55:00,50X,10X
2025-09-13 01:54:00,15X,4X
2025-09-13 01:51:00,25X,6X
2025-09-13 01:50:00,40X,3X
2025-09-13 01:48:00,10X,2X
2025-09-13 01:46:00,50X,16X
2025-09-13 01:45:00,1X,1X
2025-09-13 02:32:00,7X,1X
2025-09-13 02:30:00,25X,7X
2025-09-13 02:29:00,1X,1X
2025-09-13 02:27:00,1X,1X
2025-09-13 02:26:00,25X,7X
2025-09-13 02:25:00,3X,2X
2025-09-13 02:24:00,25X,5X
2025-09-13 02:23:00,1X,1X
2025-09-13 02:22:00,1X,1X
2025-09-13 02:21:00,25X,37X
2025-09-13 02:20:00,25X,38X
2025-09-13 02:19:00,25X,37X
2025-09-13 02:18:00,25X,37X
2025-09-13 02:17:00,25X,37X
2025-09-13 02:16:00,1X,1X
2025-09-13 02:15:00,1X,1X
2025-09-13 02:14:00,1X,1X
2025-09-13 02:13:00,1X,1X
2025-09-13 02:12:00,1X,1X
2025-09-13 02:58:00,14X,1X
2025-09-13 02:56:00,10X,1X
2025-09-13 02:55:00,25X,8X
2025-09-13 02:54:00,1X,1X
2025-09-13 02:53:00,1X,1X
2025-09-13 02:52:00,1X,1X
2025-09-13 02:51:00,25X,7X
2025-09-13 02:50:00,6X,2X
2025-09-13 02:48:00,15X,3X
2025-09-13 02:47:00,25X,8X
2025-09-13 02:45:00,25X,6X
2025-09-13 02:44:00,12X,4X
2025-09-13 02:41:00,1X,2X
2025-09-13 02:40:00,50X,14X
2025-09-13 02:39:00,25X,5X
2025-09-13 02:38:00,1X,1X
2025-09-13 02:37:00,25X,5X
2025-09-13 02:36:00,25X,6X
2025-09-13 02:35:00,9X,2X
2025-09-13 03:04:00,9X,1X
2025-09-13 03:02:00,25X,6X
2025-09-13 03:01:00,1X,1X
2025-09-13 03:00:00,25X,5X
2025-09-13 02:59:00,1X,2X
